timestamp,state,arduino_duration,motor_2_position,motor_1_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1635782187.0108204,1111,70.122,0,0,-0.001,1.9569999999999999,0.0,0.0
1635782187.875576,1111,0.858,0,5,-0.003,1.956,0.0,0.8647558689117432
1635782188.731692,1111,0.856,0,10,-0.001,1.875,0.0,1.7208719253540041
1635782189.586825,1111,0.8540000000000001,0,15,-0.004,1.874,0.01,2.57600474357605
1635782190.447358,1111,0.857,0,20,-0.003,1.876,0.0,3.436537742614746
1635782191.3074882,1111,0.858,0,25,-0.003,1.893,0.0,4.296667814254762
1635782192.1632562,1111,0.855,0,30,-0.003,1.87,0.0,5.152436017990112
1635782193.0236368,1111,0.858,0,35,-0.003,1.921,0.0,6.012816905975343
1635782193.879979,1111,0.855,0,40,-0.003,2.006,0.0,6.869158744812013
1635782194.73572,1111,0.8540000000000001,0,45,-0.003,1.9669999999999999,0.0,7.724899768829347
1635782195.596031,1111,0.856,0,50,0.0,1.9669999999999999,0.0,8.585210800170897
1635782196.451765,1111,0.857,0,55,-0.003,1.9180000000000001,0.0,9.440944910049437
1635782197.307703,1111,0.852,0,60,-0.003,1.932,0.0,10.296882867813109
1635782198.164596,1111,0.855,0,65,-0.003,1.93,0.0,11.153775930404663
1635782199.019527,1111,0.855,0,70,-0.004,1.92,0.01,12.00870680809021
1635782199.8799472,1111,0.856,0,75,-0.003,1.9140000000000001,0.0,12.869126796722412
1635782200.739701,1111,0.858,0,80,-0.003,1.902,0.0,13.728880882263185
1635782201.599524,1111,0.858,0,85,-0.003,1.8840000000000001,0.0,14.588703870773315
1635782202.455974,1111,0.857,0,90,-0.004,1.875,0.01,15.445153713226318
1635782203.316791,1111,0.856,0,95,-0.003,1.871,0.0,16.305970907211304
1635782204.177071,1111,0.858,0,100,-0.003,1.875,0.0,17.166250944137573
1635782205.032567,1111,0.856,0,105,-0.004,1.8780000000000001,0.01,18.02174687385559
1635782205.8923302,1111,0.858,0,110,-0.004,1.886,0.01,18.88150978088379
1635782206.756927,1111,0.858,0,115,-0.001,1.8719999999999999,0.0,19.74610686302185
1635782207.6167626,1111,0.8590000000000001,0,120,-0.003,1.8719999999999999,0.0,20.605942726135254
1635782208.473788,1111,0.856,0,125,-0.003,1.875,0.0,21.46296787261963
1635782209.3334556,1111,0.857,0,130,-0.003,1.8780000000000001,0.0,22.322635650634766
1635782210.1931362,1111,0.857,0,135,-0.004,1.886,0.01,23.182316064834595
1635782211.053428,1111,0.86,0,140,-0.001,1.876,0.0,24.04260778427124
1635782211.913942,1111,0.8590000000000001,0,145,-0.003,1.874,0.0,24.90312194824219
1635782212.777796,1111,0.862,0,150,-0.003,1.89,0.0,25.76697587966919
1635782213.6377769,1111,0.8590000000000001,0,155,-0.003,1.885,0.0,26.62695670127869
1635782214.498677,1111,0.858,0,160,-0.003,1.8880000000000001,0.0,27.4878568649292
1635782215.3625312,1111,0.862,0,165,-0.004,1.875,0.01,28.35171103477478
1635782216.2256489,1111,0.863,0,170,-0.003,1.905,0.0,29.21482872962952
1635782217.0858626,1111,0.857,0,175,-0.003,1.8880000000000001,0.0,30.07504272460937
1635782217.9459488,1111,0.857,0,180,-0.003,1.89,0.0,30.935128688812256
1635782220.604588,1111,2.656,5,0,-0.003,1.99,0.0,33.593767881393426
1635782221.4646454,1111,0.858,5,5,-0.001,1.9909999999999999,0.0,34.453824996948235
1635782222.320966,1111,0.8540000000000001,5,10,-0.003,1.992,0.0,35.31014585494995
1635782223.1814868,1111,0.857,5,15,-0.003,1.989,0.0,36.170666933059685
1635782224.0420446,1111,0.858,5,20,-0.001,1.9869999999999999,0.0,37.031224727630615
1635782224.8965418,1111,0.855,5,25,-0.003,1.982,0.0,37.885721683502204
1635782225.757206,1111,0.856,5,30,-0.003,1.9769999999999999,0.0,38.7463858127594
1635782226.613011,1111,0.857,5,35,-0.003,1.9669999999999999,0.0,39.602190732955926
1635782227.473527,1111,0.858,5,40,0.0,1.9609999999999999,0.0,40.462706804275506
1635782228.3300636,1111,0.855,5,45,-0.003,1.972,0.0,41.319243669509895
1635782229.194578,1111,0.8590000000000001,5,50,-0.003,1.95,0.0,42.18375778198242
1635782230.054154,1111,0.857,5,55,-0.003,1.944,0.0,43.04333376884461
