timestamp,state,arduino_duration,motor_2_position,motor_1_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1635955592.8427,1111,1112.958,90,90,-0.001,2.062,0.0,0.0
1635955594.939792,1111,2.096,0,0,-0.001,1.98,0.0,2.0970919132232666
1635955595.283093,1111,0.33799999999999997,0,5,-0.001,1.959,0.0,2.4403929710388184
1635955595.6239731,1111,0.33799999999999997,0,10,0.0,1.969,0.0,2.7812731266021733
1635955595.962824,1111,0.33799999999999997,0,15,-0.001,1.994,0.0,3.120123863220215
1635955596.303555,1111,0.33799999999999997,0,20,-0.001,1.982,0.0,3.4608550071716313
1635955596.6425278,1111,0.33799999999999997,0,25,-0.003,1.984,0.0,3.799828052520752
1635955596.987898,1111,0.33899999999999997,0,30,-0.003,1.98,0.0,4.145198106765747
1635955597.3269372,1111,0.33799999999999997,0,35,-0.003,1.975,0.0,4.484237194061278
1635955597.667197,1111,0.33799999999999997,0,40,-0.001,1.956,0.0,4.824496984481812
1635955598.011502,1111,0.33899999999999997,0,45,-0.001,1.956,0.0,5.16880202293396
1635955598.351624,1111,0.33799999999999997,0,50,-0.004,1.931,0.01,5.508924007415772
1635955598.690706,1111,0.33799999999999997,0,55,-0.004,1.93,0.01,5.848006010055543
1635955599.034667,1111,0.33899999999999997,0,60,-0.003,1.932,0.0,6.191967010498048
1635955599.375832,1111,0.33799999999999997,0,65,-0.003,1.9240000000000002,0.0,6.533132076263428
1635955599.714838,1111,0.33799999999999997,0,70,-0.003,1.92,0.0,6.872138023376465
1635955600.059391,1111,0.33799999999999997,0,75,-0.001,1.92,0.0,7.216691017150879
1635955600.398813,1111,0.33799999999999997,0,80,-0.003,1.9240000000000002,0.0,7.556113004684447
1635955600.7391481,1111,0.33799999999999997,0,85,-0.001,1.9269999999999998,0.0,7.8964481353759775
1635955601.0832279,1111,0.33799999999999997,0,90,-0.003,1.945,0.0,8.240527868270874
1635955601.42315,1111,0.33799999999999997,0,95,0.0,1.944,0.0,8.580450057983397
1635955601.762788,1111,0.337,0,100,-0.004,1.95,0.01,8.920088052749632
1635955602.1078134,1111,0.33899999999999997,0,105,-0.001,1.949,0.0,9.265113115310667
1635955602.446966,1111,0.34,0,110,-0.003,1.95,0.0,9.60426592826843
1635955602.791991,1111,0.341,0,115,-0.004,1.925,0.01,9.949290990829466
1635955603.1307142,1111,0.34,0,120,-0.003,1.921,0.0,10.288014173507689
1635955603.475185,1111,0.34,0,125,-0.003,1.921,0.0,10.632484912872314
1635955603.818707,1111,0.34,0,130,-0.003,1.921,0.0,10.976006984710693
1635955604.159346,1111,0.34,0,135,-0.003,1.925,0.0,11.316645860671995
1635955604.504025,1111,0.341,0,140,-0.003,1.932,0.0,11.661324977874756
1635955604.8437,1111,0.34,0,145,-0.003,1.939,0.0,12.000999927520752
1635955605.187115,1111,0.34,0,150,-0.003,1.9409999999999998,0.0,12.344414949417114
1635955605.5269651,1111,0.34,0,155,-0.001,1.964,0.0,12.684264898300171
1635955605.8715851,1111,0.34,0,160,-0.003,1.965,0.0,13.028885126113892
1635955606.216306,1111,0.341,0,165,-0.003,1.969,0.0,13.373605966567993
1635955606.555451,1111,0.34,0,170,-0.001,1.97,0.0,13.712750911712645
1635955606.899183,1111,0.34,0,175,-0.003,1.972,0.0,14.056483030319214
1635955607.2399402,1111,0.34,0,180,-0.003,1.9769999999999999,0.0,14.397240161895752
1635955609.386249,1111,2.142,5,0,-0.003,1.9609999999999999,0.0,16.543549060821533
1635955609.7260802,1111,0.33799999999999997,5,5,-0.001,1.976,0.0,16.883379936218258
1635955610.065138,1111,0.33899999999999997,5,10,-0.001,2.001,0.0,17.222437858581547
1635955610.4057238,1111,0.33899999999999997,5,15,-0.001,1.9909999999999999,0.0,17.563023805618286
1635955610.749166,1111,0.33899999999999997,5,20,-0.004,1.9969999999999999,0.01,17.906466007232662
1635955611.089201,1111,0.33899999999999997,5,25,0.0,1.996,0.0,18.246500968933105
1635955611.429631,1111,0.33799999999999997,5,30,-0.001,1.974,0.0,18.58693099021912
