timestamp,state,arduino_duration,motor_2_position,motor_1_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1636040952.046144,1111,143.785,90,90,0.001,2.271,0.0,0.0
1636040954.138741,1111,2.093,0,0,0.001,1.999,0.0,2.0925970077514653
1636040954.479257,1111,0.337,0,5,-0.001,1.994,0.0,2.4331130981445312
1636040954.819495,1111,0.33899999999999997,0,10,-0.003,1.995,0.0,2.773350954055786
1636040955.1639152,1111,0.33899999999999997,0,15,-0.001,2.029,0.0,3.117770910263061
1636040955.5025961,1111,0.33899999999999997,0,20,-0.001,2.035,0.01,3.4564521312713623
1636040955.843492,1111,0.34,0,25,-0.003,2.056,0.0,3.7973480224609375
1636040956.187252,1111,0.33899999999999997,0,30,-0.001,2.07,0.0,4.14110803604126
1636040956.527575,1111,0.33899999999999997,0,35,-0.001,2.086,0.0,4.481431007385254
1636040956.867049,1111,0.33899999999999997,0,40,-0.001,2.089,0.0,4.8209049701690665
1636040957.212092,1111,0.33899999999999997,0,45,0.0,2.106,0.0,5.165947914123535
1636040957.551158,1111,0.33799999999999997,0,50,-0.001,2.119,0.0,5.505013942718506
1636040957.8916929,1111,0.33899999999999997,0,55,0.0,2.129,0.0,5.8455491065979
1636040958.231124,1111,0.33799999999999997,0,60,0.0,2.146,0.0,6.1849799156188965
1636040958.571167,1111,0.33799999999999997,0,65,0.0,2.167,0.0,6.525022983551025
1636040958.9119098,1111,0.33799999999999997,0,70,-0.001,2.1790000000000003,0.0,6.865765810012817
1636040959.2545881,1111,0.33899999999999997,0,75,0.0,2.233,0.0,7.208443880081178
1636040959.5957608,1111,0.33899999999999997,0,80,-0.001,2.273,0.0,7.549616813659668
1636040959.935153,1111,0.33899999999999997,0,85,0.0,2.274,0.0,7.88900899887085
1636040960.2745988,1111,0.33799999999999997,0,90,0.001,2.33,0.0,8.228454828262329
1636040960.6144938,1111,0.33899999999999997,0,95,0.001,2.3819999999999997,0.0,8.568349838256836
1636040960.955497,1111,0.33799999999999997,0,100,0.0,2.378,0.0,8.909353017807009
1636040961.2985551,1111,0.33899999999999997,0,105,0.001,2.412,0.0,9.252410888671877
1636040961.639468,1111,0.34,0,110,0.003,2.415,0.0,9.593323945999147
1636040961.979746,1111,0.33899999999999997,0,115,0.001,2.432,0.0,9.933602094650267
1636040962.3235269,1111,0.33899999999999997,0,120,0.001,2.435,0.0,10.277382850646973
1636040962.6635818,1111,0.33899999999999997,0,125,0.001,2.439,0.0,10.617437839508057
1636040963.0030599,1111,0.33899999999999997,0,130,0.001,2.436,0.0,10.956915855407717
1636040963.3464868,1111,0.33899999999999997,0,135,0.003,2.44,0.0,11.300343036651613
1636040963.6876106,1111,0.33899999999999997,0,140,0.0,2.431,0.0,11.641466856002808
1636040964.027264,1111,0.33899999999999997,0,145,0.001,2.426,0.0,11.981120109558105
1636040964.370944,1111,0.34,0,150,0.001,2.407,0.0,12.32480001449585
1636040964.71192,1111,0.33899999999999997,0,155,0.001,2.386,0.0,12.665776014328005
1636040965.0505118,1111,0.33899999999999997,0,160,0.001,2.371,0.0,13.00436782836914
1636040965.3954859,1111,0.34,0,165,0.0,2.356,0.0,13.349341869354248
1636040965.7358148,1111,0.33899999999999997,0,170,0.001,2.345,0.0,13.68967080116272
1636040966.075674,1111,0.33899999999999997,0,175,0.0,2.309,0.0,14.02953004837036
1636040966.418654,1111,0.33899999999999997,0,180,0.0,2.299,0.0,14.372509956359865
1636040968.560628,1111,2.141,5,0,-0.003,2.016,0.0,16.51448392868042
1636040968.9013274,1111,0.33799999999999997,5,5,-0.003,2.013,0.0,16.855183124542233
1636040969.24095,1111,0.33899999999999997,5,10,-0.001,2.0140000000000002,0.0,17.194806098937992
1636040969.5816598,1111,0.33899999999999997,5,15,-0.003,2.045,0.0,17.535515785217285
1636040969.9251869,1111,0.33899999999999997,5,20,-0.001,2.055,0.0,17.879043102264408
1636040970.265017,1111,0.33899999999999997,5,25,-0.003,2.0780000000000003,0.0,18.218873023986816
1636040970.6044438,1111,0.33899999999999997,5,30,-0.001,2.092,0.0,18.558299779891968
1636040970.949161,1111,0.34,5,35,-0.001,2.11,0.0,18.903017044067386
1636040971.289174,1111,0.33899999999999997,5,40,-0.003,2.119,0.0,19.24303007125855
1636040971.629365,1111,0.33899999999999997,5,45,-0.003,2.131,0.0,19.58322095870972
1636040971.973247,1111,0.34,5,50,0.001,2.151,0.0,19.92710304260254
1636040972.313969,1111,0.33799999999999997,5,55,-0.001,2.16,0.0,20.26782488822937
1636040972.6529589,1111,0.33899999999999997,5,60,0.0,2.185,0.0,20.60681486129761
1636040972.993741,1111,0.33899999999999997,5,65,-0.001,2.1959999999999997,0.0,20.947597026824948
1636040973.332403,1111,0.33899999999999997,5,70,-0.001,2.2430000000000003,0.0,21.286258935928345
1636040973.677933,1111,0.33899999999999997,5,75,0.0,2.261,0.0,21.63178896903992
1636040974.0169652,1111,0.33799999999999997,5,80,0.001,2.331,0.0,21.97082114219665
1636040974.356823,1111,0.33799999999999997,5,85,0.0,2.329,0.0,22.310678958892822
1636040974.696954,1111,0.33799999999999997,5,90,0.001,2.4,0.0,22.65081000328064
1636040975.0369868,1111,0.33799999999999997,5,95,0.0,2.4,0.0,22.99084281921387
1636040975.3768358,1111,0.33799999999999997,5,100,0.0,2.434,0.0,23.33069205284119
1636040975.7175198,1111,0.33899999999999997,5,105,0.001,2.459,0.0,23.67137575149536
1636040976.0616488,1111,0.33899999999999997,5,110,0.0,2.4730000000000003,0.0,24.01550483703613
1636040976.40124,1111,0.33899999999999997,5,115,0.001,2.48,0.0,24.355096101760864
1636040976.740448,1111,0.34,5,120,0.003,2.49,0.0,24.6943039894104
1636040977.085417,1111,0.33899999999999997,5,125,0.003,2.487,0.0,25.03927302360535
1636040977.4247038,1111,0.33899999999999997,5,130,0.003,2.491,0.0,25.378560066223145
1636040977.7652981,1111,0.33899999999999997,5,135,0.003,2.487,0.0,25.719153881072998
1636040978.1083481,1111,0.33899999999999997,5,140,0.004,2.483,0.0,26.06220388412476
1636040978.448425,1111,0.34,5,145,0.001,2.455,0.0,26.402281045913696
1636040978.789184,1111,0.33899999999999997,5,150,0.001,2.439,0.0,26.74304008483887
1636040979.1329849,1111,0.33899999999999997,5,155,0.0,2.435,0.0,27.086841106414795
1636040979.472411,1111,0.34,5,160,0.0,2.406,0.0,27.42626690864563
1636040979.8124008,1111,0.33899999999999997,5,165,0.0,2.399,0.0,27.76625680923462
1636040980.1567569,1111,0.33899999999999997,5,170,0.0,2.364,0.0,28.11061286926269
1636040980.4962132,1111,0.34,5,175,0.001,2.349,0.0,28.450068950653076
1636040980.837389,1111,0.33899999999999997,5,180,0.0,2.329,0.0,28.791244983673096
1636040982.983923,1111,2.141,10,0,-0.003,2.029,0.0,30.93777894973755
1636040983.322859,1111,0.34,10,5,-0.001,2.025,0.0,31.27671504020691
1636040983.662504,1111,0.33899999999999997,10,10,-0.003,2.031,0.0,31.616359949111942
1636040984.006371,1111,0.34,10,15,-0.001,2.069,0.0,31.96022701263428
1636040984.3513432,1111,0.34,10,20,-0.003,2.079,0.0,32.30519914627075
1636040984.691297,1111,0.34,10,25,-0.003,2.089,0.0,32.645153045654304
1636040985.034577,1111,0.341,10,30,-0.003,2.105,0.0,32.98843288421631
1636040985.37595,1111,0.34,10,35,-0.003,2.128,0.0,33.329806089401245
1636040985.7192588,1111,0.34,10,40,-0.001,2.135,0.0,33.67311477661133
