timestamp,state,arduino_duration,motor_1_position,motor_2_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1650901341.145602,1111,5.204,90,90,0.027,6.018,0.170,0.0
1650901343.212998,1111,20.706,0,0,0.025,5.490,0.140,2.0673959255218506
1650901343.552768,1111,0.338,0,5,0.027,5.871,0.170,2.407166004180908
1650901343.892214,1111,0.338,0,10,0.029,5.885,0.170,2.746612071990967
1650901344.231992,1111,0.338,0,15,0.029,6.004,0.170,3.0863900184631348
1650901344.572629,1111,0.338,0,20,0.030,6.025,0.180,3.4270269870758057
1650901344.912368,1111,0.339,0,25,0.030,6.059,0.180,3.76676607131958
1650901345.257308,1111,0.338,0,30,0.030,6.095,0.180,4.111706018447876
1650901345.597569,1111,0.338,0,35,0.029,6.115,0.180,4.451967000961304
1650901345.936297,1111,0.338,0,40,0.030,6.098,0.180,4.790694952011108
1650901346.2771242,1111,0.338,0,45,0.030,6.114,0.180,5.131522178649902
1650901346.6164439,1111,0.338,0,50,0.029,6.148,0.180,5.470841884613037
1650901346.9562318,1111,0.338,0,55,0.030,6.103,0.180,5.810629844665527
1650901347.2964852,1111,0.339,0,60,0.030,6.125,0.180,6.150883197784424
1650901347.636689,1111,0.338,0,65,0.031,6.149,0.190,6.491086959838867
1650901347.975689,1111,0.338,0,70,0.030,6.196,0.170,6.830086946487427
1650901348.315339,1111,0.339,0,75,0.027,6.160,0.150,7.169737100601196
1650901348.657909,1111,0.338,0,80,0.025,5.703,0.140,7.5123069286346436
1650901348.996599,1111,0.338,0,85,0.025,5.690,0.140,7.850996971130371
1650901349.336621,1111,0.339,0,90,0.026,5.668,0.150,8.191019058227539
1650901349.6821618,1111,0.338,0,95,0.026,5.635,0.150,8.536559820175171
1650901350.02016,1111,0.338,0,100,0.024,5.606,0.130,8.874557971954346
1650901350.359304,1111,0.339,0,105,0.026,5.558,0.140,9.213701963424683
1650901350.69953,1111,0.339,0,110,0.025,5.486,0.140,9.553927898406982
1650901351.045077,1111,0.339,0,115,0.024,5.398,0.130,9.89947509765625
1650901351.3835251,1111,0.340,0,120,0.022,5.343,0.120,10.23792314529419
1650901351.7233732,1111,0.339,0,125,0.021,5.145,0.120,10.577771186828613
1650901352.067827,1111,0.339,0,130,0.022,5.111,0.120,10.922224998474121
1650901352.4075541,1111,0.340,0,135,0.019,4.916,0.090,11.26195216178894
1650901352.748238,1111,0.339,0,140,0.021,4.998,0.100,11.602636098861694
1650901353.092226,1111,0.339,0,145,0.021,5.013,0.100,11.946624040603638
1650901353.4312708,1111,0.340,0,150,0.020,5.224,0.100,12.285668849945068
1650901353.771826,1111,0.339,0,155,0.021,4.986,0.100,12.626224040985107
1650901354.116211,1111,0.339,0,160,0.021,5.009,0.100,12.970608949661255
1650901354.4561129,1111,0.339,0,165,0.021,5.025,0.100,13.310510873794556
1650901354.7956538,1111,0.339,0,170,0.022,5.044,0.120,13.650051832199097
1650901355.139341,1111,0.339,0,175,0.021,5.063,0.100,13.993739128112793
1650901355.479417,1111,0.339,0,180,0.021,5.066,0.100,14.333815097808838
1650901357.621584,1111,2.141,5,0,0.026,5.499,0.140,16.475981950759888
1650901357.9611478,1111,0.337,5,5,0.024,5.459,0.130,16.815545797348022
1650901358.301703,1111,0.338,5,10,0.024,5.631,0.130,17.15610098838806
1650901358.641228,1111,0.338,5,15,0.026,5.526,0.140,17.495625972747803
1650901358.981159,1111,0.338,5,20,0.024,5.564,0.130,17.835556983947754
1650901359.320856,1111,0.338,5,25,0.025,5.600,0.140,18.175254106521606
1650901359.660864,1111,0.338,5,30,0.026,5.638,0.150,18.515262126922607
1650901360.000941,1111,0.338,5,35,0.025,5.655,0.140,18.85533905029297
1650901360.3405309,1111,0.338,5,40,0.026,5.675,0.150,19.194928884506226
1650901360.6811972,1111,0.338,5,45,0.025,5.690,0.140,19.535595178604126
1650901361.021348,1111,0.338,5,50,0.027,5.709,0.150,19.87574601173401
1650901361.361748,1111,0.338,5,55,0.026,5.724,0.150,20.216145992279053
1650901361.7043781,1111,0.339,5,60,0.026,5.730,0.150,20.558776140213013
1650901362.0448341,1111,0.338,5,65,0.026,5.735,0.150,20.899232149124146
1650901362.3856761,1111,0.338,5,70,0.025,5.738,0.140,21.240074157714844
1650901362.7249799,1111,0.339,5,75,0.027,5.731,0.150,21.57937788963318
1650901363.065015,1111,0.338,5,80,0.029,5.723,0.150,21.919413089752197
