timestamp,state,arduino_duration,motor_1_position,motor_2_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1635782187.0108202,1111,70.122,0,0,-0.001,1.957,0.000,0.0
1635782187.875576,1111,0.858,0,5,-0.003,1.956,0.000,0.8647558689117432
1635782188.731692,1111,0.856,0,10,-0.001,1.875,0.000,1.720871925354004
1635782189.586825,1111,0.854,0,15,-0.004,1.874,0.010,2.57600474357605
1635782190.447358,1111,0.857,0,20,-0.003,1.876,0.000,3.436537742614746
1635782191.307488,1111,0.858,0,25,-0.003,1.893,0.000,4.296667814254761
1635782192.1632562,1111,0.855,0,30,-0.003,1.870,0.000,5.152436017990112
1635782193.023637,1111,0.858,0,35,-0.003,1.921,0.000,6.012816905975342
1635782193.879979,1111,0.855,0,40,-0.003,2.006,0.000,6.869158744812012
1635782194.73572,1111,0.854,0,45,-0.003,1.967,0.000,7.724899768829346
1635782195.596031,1111,0.856,0,50,0.000,1.967,0.000,8.585210800170898
1635782196.451765,1111,0.857,0,55,-0.003,1.918,0.000,9.440944910049438
1635782197.307703,1111,0.852,0,60,-0.003,1.932,0.000,10.29688286781311
1635782198.164596,1111,0.855,0,65,-0.003,1.930,0.000,11.153775930404663
1635782199.019527,1111,0.855,0,70,-0.004,1.920,0.010,12.00870680809021
1635782199.879947,1111,0.856,0,75,-0.003,1.914,0.000,12.869126796722412
1635782200.739701,1111,0.858,0,80,-0.003,1.902,0.000,13.728880882263184
1635782201.599524,1111,0.858,0,85,-0.003,1.884,0.000,14.588703870773315
1635782202.4559739,1111,0.857,0,90,-0.004,1.875,0.010,15.445153713226318
1635782203.316791,1111,0.856,0,95,-0.003,1.871,0.000,16.305970907211304
1635782204.177071,1111,0.858,0,100,-0.003,1.875,0.000,17.166250944137573
1635782205.032567,1111,0.856,0,105,-0.004,1.878,0.010,18.02174687385559
1635782205.89233,1111,0.858,0,110,-0.004,1.886,0.010,18.88150978088379
1635782206.756927,1111,0.858,0,115,-0.001,1.872,0.000,19.74610686302185
1635782207.6167629,1111,0.859,0,120,-0.003,1.872,0.000,20.605942726135254
1635782208.473788,1111,0.856,0,125,-0.003,1.875,0.000,21.46296787261963
1635782209.3334558,1111,0.857,0,130,-0.003,1.878,0.000,22.322635650634766
1635782210.1931362,1111,0.857,0,135,-0.004,1.886,0.010,23.182316064834595
1635782211.053428,1111,0.860,0,140,-0.001,1.876,0.000,24.04260778427124
1635782211.913942,1111,0.859,0,145,-0.003,1.874,0.000,24.903121948242188
1635782212.777796,1111,0.862,0,150,-0.003,1.890,0.000,25.76697587966919
1635782213.6377769,1111,0.859,0,155,-0.003,1.885,0.000,26.626956701278687
1635782214.498677,1111,0.858,0,160,-0.003,1.888,0.000,27.4878568649292
1635782215.3625312,1111,0.862,0,165,-0.004,1.875,0.010,28.35171103477478
1635782216.2256489,1111,0.863,0,170,-0.003,1.905,0.000,29.214828729629517
1635782217.0858629,1111,0.857,0,175,-0.003,1.888,0.000,30.075042724609375
1635782217.9459488,1111,0.857,0,180,-0.003,1.890,0.000,30.935128688812256
1635782220.604588,1111,2.656,5,0,-0.003,1.990,0.000,33.59376788139343
1635782221.4646451,1111,0.858,5,5,-0.001,1.991,0.000,34.45382499694824
1635782222.320966,1111,0.854,5,10,-0.003,1.992,0.000,35.31014585494995
1635782223.181487,1111,0.857,5,15,-0.003,1.989,0.000,36.17066693305969
1635782224.0420449,1111,0.858,5,20,-0.001,1.987,0.000,37.031224727630615
1635782224.8965418,1111,0.855,5,25,-0.003,1.982,0.000,37.8857216835022
1635782225.757206,1111,0.856,5,30,-0.003,1.977,0.000,38.7463858127594
1635782226.613011,1111,0.857,5,35,-0.003,1.967,0.000,39.60219073295593
1635782227.473527,1111,0.858,5,40,0.000,1.961,0.000,40.46270680427551
1635782228.3300638,1111,0.855,5,45,-0.003,1.972,0.000,41.31924366950989
1635782229.194578,1111,0.859,5,50,-0.003,1.950,0.000,42.18375778198242
1635782230.054154,1111,0.857,5,55,-0.003,1.944,0.000,43.043333768844604
1635782230.9106371,1111,0.857,5,60,-0.003,1.942,0.000,43.89981698989868
1635782231.774886,1111,0.858,5,65,-0.001,1.930,0.000,44.764065742492676
1635782232.630601,1111,0.858,5,70,-0.003,1.922,0.000,45.61978077888489
1635782233.486322,1111,0.852,5,75,-0.004,1.931,0.010,46.47550177574158
1635782234.3470879,1111,0.856,5,80,-0.003,1.907,0.000,47.336267709732056
1635782235.20158,1111,0.855,5,85,-0.003,1.900,0.000,48.190759897232056
1635782236.0624971,1111,0.858,5,90,-0.001,1.894,0.000,49.051676988601685
1635782236.919135,1111,0.855,5,95,-0.005,1.886,0.010,49.9083149433136
1635782237.7780008,1111,0.856,5,100,-0.003,1.884,0.000,50.76718068122864
1635782238.6394749,1111,0.861,5,105,-0.003,1.881,0.000,51.62865471839905
1635782239.503236,1111,0.861,5,110,-0.003,1.874,0.000,52.49241590499878
1635782240.363391,1111,0.857,5,115,-0.003,1.872,0.000,53.35257077217102
1635782241.223114,1111,0.859,5,120,-0.004,1.886,0.010,54.21229386329651
1635782242.083501,1111,0.857,5,125,-0.001,1.888,0.000,55.072680950164795
1635782242.9389179,1111,0.856,5,130,-0.003,1.888,0.000,55.92809772491455
1635782243.79916,1111,0.858,5,135,-0.003,1.871,0.000,56.78833985328674
1635782244.663648,1111,0.861,5,140,-0.003,1.889,0.000,57.652827739715576
1635782245.524438,1111,0.858,5,145,-0.001,1.890,0.000,58.513617753982544
1635782246.384532,1111,0.857,5,150,-0.001,1.876,0.000,59.373711824417114
1635782247.2437272,1111,0.859,5,155,-0.003,1.876,0.000,60.23290705680847
1635782248.0998862,1111,0.855,5,160,-0.003,1.870,0.000,61.08906602859497
1635782248.960601,1111,0.858,5,165,-0.004,1.882,0.010,61.94978094100952
1635782249.825052,1111,0.861,5,170,-0.003,1.880,0.000,62.814231872558594
1635782250.684526,1111,0.857,5,175,-0.003,1.879,0.000,63.67370581626892
1635782251.540853,1111,0.857,5,180,-0.003,1.879,0.000,64.53003287315369
1635782254.20695,1111,2.662,10,0,-0.003,1.996,0.000,67.19612979888916
1635782255.066697,1111,0.858,10,5,-0.003,1.994,0.000,68.05587673187256
1635782255.927451,1111,0.859,10,10,-0.004,2.011,0.010,68.91663074493408
1635782256.7875772,1111,0.858,10,15,-0.003,2.000,0.000,69.77675700187683
1635782257.646816,1111,0.856,10,20,-0.003,1.991,0.000,70.63599586486816
1635782258.503444,1111,0.858,10,25,-0.003,1.987,0.000,71.49262380599976
1635782259.367883,1111,0.860,10,30,-0.001,1.996,0.000,72.35706281661987
1635782260.223642,1111,0.855,10,35,-0.001,1.972,0.000,73.21282196044922
1635782261.0886998,1111,0.860,10,40,-0.001,1.984,0.000,74.0778796672821
1635782261.943993,1111,0.856,10,45,-0.003,1.969,0.000,74.93317294120789
1635782262.804186,1111,0.858,10,50,-0.001,1.952,0.000,75.79336595535278
