timestamp,state,arduino_duration,motor_1_position,motor_2_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1635873491.434103,1111,0.498,90,90,-0.003,1.819,0.000,0.0
1635873493.530735,1111,2.092,0,0,-0.001,1.796,0.000,2.0966320037841797
1635873493.8708491,1111,0.338,0,5,-0.003,1.796,0.000,2.436746120452881
1635873494.211194,1111,0.338,0,10,-0.004,1.796,0.010,2.7770910263061523
1635873494.551313,1111,0.339,0,15,-0.004,1.799,0.010,3.1172099113464355
1635873494.8905091,1111,0.339,0,20,-0.001,1.801,0.000,3.4564061164855957
1635873495.234893,1111,0.339,0,25,-0.003,1.804,0.000,3.8007900714874268
1635873495.574632,1111,0.339,0,30,-0.003,1.809,0.000,4.140528917312622
1635873495.915026,1111,0.339,0,35,-0.003,1.814,0.000,4.4809229373931885
1635873496.258341,1111,0.340,0,40,-0.003,1.825,0.000,4.824238061904907
1635873496.59794,1111,0.339,0,45,-0.003,1.831,0.000,5.16383695602417
1635873496.938169,1111,0.339,0,50,-0.003,1.831,0.000,5.504065990447998
1635873497.283249,1111,0.340,0,55,-0.003,1.826,0.000,5.849145889282227
1635873497.621842,1111,0.339,0,60,-0.003,1.829,0.000,6.18773889541626
1635873497.961528,1111,0.339,0,65,-0.003,1.831,0.000,6.527425050735474
1635873498.307158,1111,0.339,0,70,-0.003,1.836,0.000,6.8730549812316895
1635873498.646828,1111,0.340,0,75,-0.004,1.834,0.010,7.212724924087524
1635873498.986537,1111,0.339,0,80,-0.004,1.836,0.010,7.552433967590332
1635873499.3255832,1111,0.339,0,85,-0.004,1.837,0.010,7.891480207443237
1635873499.670135,1111,0.339,0,90,-0.003,1.841,0.000,8.236032009124756
1635873500.010491,1111,0.339,0,95,-0.004,1.841,0.010,8.576387882232666
1635873500.3503602,1111,0.339,0,100,-0.003,1.840,0.000,8.91625714302063
1635873500.693441,1111,0.340,0,105,-0.003,1.841,0.000,9.259337902069092
1635873501.038761,1111,0.340,0,110,-0.001,1.846,0.000,9.604657888412476
1635873501.377981,1111,0.340,0,115,-0.003,1.854,0.000,9.943877935409546
1635873501.72299,1111,0.340,0,120,-0.003,1.850,0.000,10.288887023925781
1635873502.0619829,1111,0.340,0,125,-0.004,1.842,0.010,10.627879858016968
1635873502.405547,1111,0.340,0,130,-0.003,1.844,0.000,10.971443891525269
1635873502.746389,1111,0.340,0,135,-0.004,1.845,0.010,11.312285900115967
1635873503.0902689,1111,0.340,0,140,-0.003,1.845,0.000,11.656165838241577
1635873503.434365,1111,0.340,0,145,-0.003,1.847,0.000,12.000262022018433
1635873503.774074,1111,0.340,0,150,-0.003,1.850,0.000,12.33997106552124
1635873504.118793,1111,0.339,0,155,-0.003,1.859,0.000,12.684689998626709
1635873504.457807,1111,0.341,0,160,-0.001,1.866,0.000,13.023704051971436
1635873504.8030841,1111,0.340,0,165,-0.003,1.855,0.000,13.368981122970581
1635873505.142711,1111,0.340,0,170,-0.004,1.857,0.010,13.708607912063599
1635873505.485683,1111,0.341,0,175,-0.003,1.856,0.000,14.05157995223999
1635873505.8303318,1111,0.340,0,180,-0.003,1.855,0.000,14.396228790283203
1635873507.972887,1111,2.142,5,0,-0.004,1.797,0.010,16.53878402709961
1635873508.31288,1111,0.338,5,5,-0.001,1.797,0.000,16.878777027130127
1635873508.651925,1111,0.339,5,10,-0.004,1.797,0.010,17.217822074890137
1635873508.995967,1111,0.339,5,15,-0.003,1.801,0.000,17.561863899230957
1635873509.3356879,1111,0.339,5,20,-0.004,1.811,0.010,17.90158486366272
1635873509.676353,1111,0.339,5,25,-0.004,1.814,0.010,18.242249965667725
1635873510.0206249,1111,0.339,5,30,-0.004,1.819,0.010,18.586521863937378
1635873510.360374,1111,0.339,5,35,-0.004,1.821,0.010,18.926270961761475
1635873510.700435,1111,0.339,5,40,-0.003,1.825,0.000,19.266331911087036
1635873511.040055,1111,0.339,5,45,-0.003,1.824,0.000,19.60595202445984
