timestamp,state,arduino_duration,motor_1_position,motor_2_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1635955592.8427,1111,1112.958,90,90,-0.001,2.062,0.000,0.0
1635955594.939792,1111,2.096,0,0,-0.001,1.980,0.000,2.0970919132232666
1635955595.283093,1111,0.338,0,5,-0.001,1.959,0.000,2.4403929710388184
1635955595.6239731,1111,0.338,0,10,0.000,1.969,0.000,2.781273126602173
1635955595.9628239,1111,0.338,0,15,-0.001,1.994,0.000,3.120123863220215
1635955596.303555,1111,0.338,0,20,-0.001,1.982,0.000,3.460855007171631
1635955596.642528,1111,0.338,0,25,-0.003,1.984,0.000,3.799828052520752
1635955596.987898,1111,0.339,0,30,-0.003,1.980,0.000,4.145198106765747
1635955597.3269372,1111,0.338,0,35,-0.003,1.975,0.000,4.484237194061279
1635955597.667197,1111,0.338,0,40,-0.001,1.956,0.000,4.8244969844818115
1635955598.011502,1111,0.339,0,45,-0.001,1.956,0.000,5.16880202293396
1635955598.351624,1111,0.338,0,50,-0.004,1.931,0.010,5.5089240074157715
1635955598.690706,1111,0.338,0,55,-0.004,1.930,0.010,5.848006010055542
1635955599.034667,1111,0.339,0,60,-0.003,1.932,0.000,6.191967010498047
1635955599.375832,1111,0.338,0,65,-0.003,1.924,0.000,6.533132076263428
1635955599.714838,1111,0.338,0,70,-0.003,1.920,0.000,6.872138023376465
1635955600.059391,1111,0.338,0,75,-0.001,1.920,0.000,7.216691017150879
1635955600.398813,1111,0.338,0,80,-0.003,1.924,0.000,7.556113004684448
1635955600.7391481,1111,0.338,0,85,-0.001,1.927,0.000,7.896448135375977
1635955601.0832279,1111,0.338,0,90,-0.003,1.945,0.000,8.240527868270874
1635955601.42315,1111,0.338,0,95,0.000,1.944,0.000,8.580450057983398
1635955601.762788,1111,0.337,0,100,-0.004,1.950,0.010,8.920088052749634
1635955602.1078131,1111,0.339,0,105,-0.001,1.949,0.000,9.265113115310669
1635955602.446966,1111,0.340,0,110,-0.003,1.950,0.000,9.604265928268433
1635955602.791991,1111,0.341,0,115,-0.004,1.925,0.010,9.949290990829468
1635955603.1307142,1111,0.340,0,120,-0.003,1.921,0.000,10.28801417350769
1635955603.475185,1111,0.340,0,125,-0.003,1.921,0.000,10.632484912872314
1635955603.818707,1111,0.340,0,130,-0.003,1.921,0.000,10.976006984710693
1635955604.1593459,1111,0.340,0,135,-0.003,1.925,0.000,11.316645860671997
1635955604.504025,1111,0.341,0,140,-0.003,1.932,0.000,11.661324977874756
1635955604.8437,1111,0.340,0,145,-0.003,1.939,0.000,12.000999927520752
