timestamp,state,arduino_duration,motor_1_position,motor_2_position,I_ivp_1,V_ivp_1,P_ivp_1,t_relative
1636040952.046144,1111,143.785,90,90,0.001,2.271,0.000,0.0
1636040954.138741,1111,2.093,0,0,0.001,1.999,0.000,2.092597007751465
1636040954.479257,1111,0.337,0,5,-0.001,1.994,0.000,2.4331130981445312
1636040954.819495,1111,0.339,0,10,-0.003,1.995,0.000,2.773350954055786
1636040955.163915,1111,0.339,0,15,-0.001,2.029,0.000,3.1177709102630615
1636040955.5025961,1111,0.339,0,20,-0.001,2.035,0.010,3.4564521312713623
1636040955.843492,1111,0.340,0,25,-0.003,2.056,0.000,3.7973480224609375
1636040956.187252,1111,0.339,0,30,-0.001,2.070,0.000,4.14110803604126
1636040956.527575,1111,0.339,0,35,-0.001,2.086,0.000,4.481431007385254
1636040956.867049,1111,0.339,0,40,-0.001,2.089,0.000,4.820904970169067
1636040957.212092,1111,0.339,0,45,0.000,2.106,0.000,5.165947914123535
1636040957.551158,1111,0.338,0,50,-0.001,2.119,0.000,5.505013942718506
1636040957.891693,1111,0.339,0,55,0.000,2.129,0.000,5.8455491065979
1636040958.231124,1111,0.338,0,60,0.000,2.146,0.000,6.1849799156188965
1636040958.571167,1111,0.338,0,65,0.000,2.167,0.000,6.525022983551025
1636040958.9119098,1111,0.338,0,70,-0.001,2.179,0.000,6.865765810012817
1636040959.254588,1111,0.339,0,75,0.000,2.233,0.000,7.208443880081177
1636040959.5957608,1111,0.339,0,80,-0.001,2.273,0.000,7.549616813659668
1636040959.935153,1111,0.339,0,85,0.000,2.274,0.000,7.88900899887085
1636040960.2745988,1111,0.338,0,90,0.001,2.330,0.000,8.228454828262329
1636040960.6144938,1111,0.339,0,95,0.001,2.382,0.000,8.568349838256836
1636040960.955497,1111,0.338,0,100,0.000,2.378,0.000,8.909353017807007
1636040961.298555,1111,0.339,0,105,0.001,2.412,0.000,9.252410888671875
1636040961.639468,1111,0.340,0,110,0.003,2.415,0.000,9.593323945999146
1636040961.979746,1111,0.339,0,115,0.001,2.432,0.000,9.933602094650269
1636040962.3235269,1111,0.339,0,120,0.001,2.435,0.000,10.277382850646973
1636040962.6635818,1111,0.339,0,125,0.001,2.439,0.000,10.617437839508057
1636040963.0030599,1111,0.339,0,130,0.001,2.436,0.000,10.956915855407715
1636040963.346487,1111,0.339,0,135,0.003,2.440,0.000,11.300343036651611
1636040963.6876109,1111,0.339,0,140,0.000,2.431,0.000,11.641466856002808
1636040964.027264,1111,0.339,0,145,0.001,2.426,0.000,11.981120109558105
1636040964.370944,1111,0.340,0,150,0.001,2.407,0.000,12.32480001449585
1636040964.71192,1111,0.339,0,155,0.001,2.386,0.000,12.665776014328003
1636040965.0505118,1111,0.339,0,160,0.001,2.371,0.000,13.00436782836914
1636040965.3954859,1111,0.340,0,165,0.000,2.356,0.000,13.349341869354248
1636040965.7358148,1111,0.339,0,170,0.001,2.345,0.000,13.68967080116272
1636040966.075674,1111,0.339,0,175,0.000,2.309,0.000,14.029530048370361
